InvoiceID,VendorID,VendorName,Country,VendorCurrency,InvoiceDate,DueDate,PaymentDate,InvoiceAmount,InvoiceCurrency,Status,PaymentID,ActualPaymentDate,PaymentAmount,PaymentCurrency,DaysToPay,IsOverdue,OutstandingAmount
1001,1,CleanPro Services,UK,GBP,2023-01-05,2023-02-04,2023-02-02,185.0,GBP,Paid,P001,2023-02-02,185.0,GBP,28.0,0,0
1002,3,TechFix IT Support,UK,GBP,2023-01-07,2023-02-06,2023-02-15,620.0,GBP,Paid Late,P002,2023-02-15,620.0,GBP,39.0,0,0
1003,2,FreshFoods Wholesale,UK,GBP,2023-01-10,2023-01-24,2023-01-20,1420.0,GBP,Paid,P003,2023-01-20,1420.0,GBP,10.0,0,0
1004,5,EuroLogistics Transport,DE,EUR,2023-01-12,2023-02-11,2023-02-20,980.0,EUR,Paid Late,P004,2023-02-20,980.0,EUR,39.0,0,0
1005,7,SecureGuard Maintenance,UK,GBP,2023-01-15,2023-03-16,,3400.0,GBP,Unpaid,,,,,,1,3400.0
1006,4,OfficeHub Supplies,UK,GBP,2023-01-18,2023-03-04,2023-03-10,265.0,GBP,Paid Late,P005,2023-03-10,265.0,GBP,51.0,0,0
1007,6,LinenPro Solutions,UK,GBP,2023-01-20,2023-02-19,2023-02-18,510.0,GBP,Paid,P006,2023-02-18,510.0,GBP,29.0,0,0
1008,8,GreenLeaf Waste Management,UK,GBP,2023-01-22,2023-02-21,,780.0,GBP,Overdue,,,,,,1,780.0
1009,10,BlueWave Marketing,UK,GBP,2023-01-25,2023-02-24,2023-02-28,1250.0,GBP,Paid Late,P007,2023-02-28,1250.0,GBP,34.0,0,0
1010,11,PrimeBeverage Distribution,UK,GBP,2023-01-28,2023-02-11,2023-02-10,395.0,GBP,Paid,P008,2023-02-10,395.0,GBP,13.0,0,0
1011,12,NorthStar Consulting,UK,GBP,2023-02-01,2023-03-02,,2100.0,GBP,Unpaid,,,,,,1,2100.0
1012,14,EuroFresh Produce,NL,EUR,2023-02-03,2023-02-17,2023-02-25,860.0,EUR,Paid Late,P009,2023-02-25,860.0,EUR,22.0,0,0
1013,15,FixRight Electrical,UK,GBP,2023-02-05,2023-03-06,2023-03-05,145.0,GBP,Paid,P010,2023-03-05,145.0,GBP,28.0,0,0
1014,16,PrintWorks Media,UK,GBP,2023-02-07,2023-03-09,,320.0,GBP,Unpaid,,,,,,1,320.0
